2020-06-18 11:17:12,"Beijing had 106 new #Covid_19 cases in the last week, so they shut down schools and effectively closed the airport to international travel.

In the US we’ve got 20k PER DAY and we’re like hey glad that’s over and let’s go brunch indoors and p.s. we don’t need masks anymore! https://t.co/PKsg8WLxbI"
2020-06-18 11:17:11,"Joe Biden unloads on President Trump, bashing his response to the coronavirus pandemic as an example of failed leadership that amounts to “flat out surrendering” the fight against COVID-19. https://t.co/WnLoczYcrT"
2020-06-18 11:38:22,"During the #pandemic many estranged people have become more conscious of not having family support, compounding feelings of stigma and social isolation.

Our Centre for Family Research @CFR32 involved in new study: https://t.co/GPm54aVQiF

@UKStandAlone
#COVID19 #lockdown"
2020-06-18 11:37:59,As the AIMC Gensec incharge Puducherry our Mahila Cong team the conts wth the #Pandemic times working with a heavy heart mourning for our sacrifices soldiers Martryed 20 #indianarmy these warriors cont with the distributing as was earlier announced essentials for the Poor &amp; needy https://t.co/HpxQthgBsG
2020-06-18 11:31:12,"The coronavirus pandemic has caused a wealth of uncertainty for both employers and employees. Anxiety pushes workers to break rules https://t.co/NJRmfmQjnS

#anxiety #wealth #pandemic"
2020-06-18 11:29:24,"Ironic how when Corbyn proposed free wifi ahead of #GE2019 it was dismissed as unachievable - but has proven completely achievable 6 months later thanks to #pandemic. Shows when govt deem a proposal ""unachievable"" it probably just means ""not in corporate interest"" #CorbynWasRight https://t.co/e0ZbvjqUPg"
2020-06-18 11:21:52,"Things look rough in the Lone Star State....

#COVID19  #pandemic https://t.co/HPCk00s0P9"
2020-06-18 12:07:40,"Being infected with Purple Haze's actually hurts like hell, I don't recommend it."
2020-06-18 12:07:36,"As much as I adore wrestling, it’s really disappointing to hear that @WWE hasn’t been following Covid procedure at their tapings and now have a developmental wrestler infected."
2020-06-18 11:05:33,"Terrifying news from @BritishNeuro up to 32% of neuroscientists are considering leaving neuroscience research because of Covid-19. We must take action to ensure understanding and fixing the brain will continue being critical for our society @ASollowayUK 

https://t.co/ifJkVS2Ui7"
2020-06-12 04:08:01,"It is so disappointing to see @KateMcGeeAZ blatantly ignoring the #COVID-19 crisis in AZ. McGee should know it's past time to #MaskUpAZ 

The Republican-run leg has denied the severity of COVID-19 and has yet to hold a special session, even as cases increase.  #azleg https://t.co/Rgp6JIm52z"
2020-06-18 10:01:42,Avesh Ramnarain shares the painful loss of his dad to #Covid-19 in hope of raising awareness on the seriousness of the virus. @sacoronamonitor #lockdown https://t.co/4nlao61g1f
2020-06-18 01:29:20,"I never can understand it. The way the system is planned. There is no #hope no #chance no #loophole no #escape for the #suffering man. 
Putting up a resistance!

#AlwaysHereForTaeyong #COVID #COVID19 #coronavirus #BlackLivesMattters #JusticeForKhaled #VBSArrests #BharatVsChina"
2020-06-18 12:58:36,"There's a risk that funding for #developing countries added to the #EUbudget will not help them tackle the impacts of #Covid19. In an OpEd ahead of tomorrow's #EUCO summit, @ma_jose_romero &amp; @IsaBrachetix outline 3 problems that leaders must tackle: https://t.co/SLESSc0q8t"
